CH1,CH2,CH3,CH4,Label
96,65,47,34,focus
0,0,2,12,focus
91,57,38,29,focus
0,0,7,16,focus
92,52,31,23,focus
0,0,12,19,focus
82,46,25,18,focus
0,0,14,21,focus
78,39,19,14,focus
78,84,70,54,focus
0,0,5,17,focus
99,68,54,45,focus
0,0,3,15,focus
92,59,41,33,focus
0,0,6,16,focus
91,54,33,26,focus
0,0,10,19,focus
84,48,26,20,focus
0,0,15,21,focus
83,45,23,17,focus
0,31,40,37,focus
0,0,0,0,focus
96,66,46,34,focus
0,0,0,6,focus
95,62,43,31,focus
0,0,4,13,focus
93,56,36,27,focus
0,0,9,17,focus
88,50,29,21,focus
0,0,14,20,focus
81,46,24,18,focus
0,0,17,23,focus
1,0,0,0,focus
97,70,49,34,focus
0,0,0,5,focus
95,64,46,34,focus
0,0,1,11,focus
91,57,38,29,focus
0,0,6,15,focus
91,52,31,23,focus
0,0,12,19,focus
82,46,25,18,focus
0,0,14,21,focus
75,39,19,14,focus
78,84,70,54,focus
0,0,5,17,focus
98,67,54,45,focus
0,0,2,15,focus
95,59,41,33,focus
0,0,6,16,focus
90,53,33,25,focus
0,0,10,18,focus
87,48,26,19,focus
0,0,14,21,focus
81,45,23,17,focus
0,31,40,37,focus
0,0,0,0,focus
98,66,46,34,focus
0,0,0,6,focus
94,62,43,32,focus
0,0,4,13,focus
91,56,36,27,focus
0,0,9,17,focus
88,50,29,21,focus
0,0,14,21,focus
83,46,24,18,focus
0,0,17,23,focus
0,0,0,0,focus
100,70,49,34,focus
0,0,0,4,focus
96,64,46,34,focus
0,0,2,12,focus
90,57,38,29,focus
0,0,7,16,focus
92,52,31,23,focus
0,0,12,19,focus
83,46,25,18,focus
0,0,15,21,focus
74,37,17,13,focus
88,87,72,55,focus
0,0,6,18,focus
99,68,55,46,focus
0,0,3,16,focus
95,59,41,33,focus
0,0,6,16,focus
89,53,33,25,focus
0,0,10,19,focus
85,48,26,19,focus
0,0,15,21,focus
80,44,22,16,focus
1,39,45,40,focus
0,0,0,1,focus
99,66,47,35,focus
0,0,0,7,focus
94,61,43,32,focus
0,0,4,13,focus
91,55,35,27,focus
0,0,8,17,focus
90,50,28,21,focus
0,0,13,20,focus
80,46,24,18,focus
0,0,17,22,focus
0,0,0,0,focus
98,67,45,31,focus
0,0,0,3,focus
94,63,44,32,focus
0,0,2,11,focus
90,56,37,28,focus
0,0,6,15,focus
88,52,31,23,focus
0,0,11,19,focus
83,46,25,19,focus
0,0,13,20,focus
72,34,16,12,focus
98,86,69,52,focus
0,0,7,18,focus
96,67,53,44,focus
0,0,3,16,focus
93,58,40,32,focus
0,0,6,16,focus
90,53,33,25,focus
0,0,10,19,focus
84,47,26,20,focus
0,0,14,21,focus
80,44,23,17,focus
16,49,50,43,focus
0,0,0,6,focus
97,64,47,36,focus
0,0,0,9,focus
96,60,41,31,focus
0,0,4,13,focus
90,55,34,26,focus
0,0,8,17,focus
88,49,28,21,focus
0,0,13,20,focus
82,47,25,18,focus
0,0,19,24,focus
0,0,0,0,focus
96,67,44,30,focus
0,0,0,3,focus
94,63,44,32,focus
0,0,2,11,focus
92,57,37,28,focus
0,0,7,15,focus
88,51,31,23,focus
0,0,12,19,focus
83,46,25,19,focus
0,0,14,21,focus
69,32,15,12,focus
100,86,69,52,focus
0,0,6,17,focus
97,67,53,44,focus
0,0,3,16,focus
94,58,40,32,focus
0,0,6,16,focus
92,53,32,25,focus
0,0,11,19,focus
87,48,26,20,focus
0,0,14,21,focus
79,43,22,16,focus
38,59,56,46,focus
0,0,0,9,focus
97,66,49,39,focus
0,0,0,11,focus
94,60,41,32,focus
0,0,5,14,focus
90,54,34,26,focus
0,0,9,18,focus
89,49,28,21,focus
0,0,14,21,focus
83,46,24,18,focus
0,5,24,27,focus
0,0,0,0,focus
97,66,44,30,focus
0,0,0,3,focus
94,63,44,32,focus
0,0,2,11,focus
90,56,37,28,focus
0,0,7,16,focus
89,51,30,22,focus
0,0,12,19,focus
82,46,24,18,focus
0,0,15,21,focus
59,22,8,7,focus
97,83,65,49,focus
0,0,3,14,focus
98,67,52,42,focus
0,0,2,14,focus
94,58,40,32,focus
0,0,6,16,focus
90,53,32,25,focus
0,0,11,19,focus
84,47,25,19,focus
0,0,14,21,focus
81,43,22,16,focus
35,58,56,47,focus
0,0,0,8,focus
97,66,50,39,focus
