CH1,CH2,CH3,CH4,Label
93,92,77,59,left
0,0,2,15,left
99,72,60,49,left
0,0,0,14,left
96,62,44,35,left
0,0,5,16,left
93,54,34,26,left
0,0,11,20,left
86,47,24,18,left
0,0,17,23,left
84,43,19,14,left
1,38,47,42,left
0,0,0,0,left
99,70,52,39,left
0,0,0,5,left
99,65,46,34,left
0,0,2,12,left
92,57,37,28,left
0,0,9,18,left
92,50,27,20,left
0,0,15,22,left
82,44,21,15,left
0,0,20,25,left
0,0,0,0,left
99,73,53,37,left
0,0,0,1,left
99,68,51,37,left
0,0,0,10,left
93,59,40,30,left
0,0,6,15,left
93,53,31,23,left
0,0,14,21,left
85,46,23,17,left
0,0,17,24,left
75,35,14,11,left
96,92,76,58,left
0,0,2,15,left
100,72,59,49,left
0,0,0,14,left
96,61,44,35,left
0,0,5,16,left
94,54,34,26,left
0,0,12,20,left
88,47,24,18,left
0,0,17,23,left
81,42,19,14,left
13,50,54,46,left
0,0,0,1,left
99,70,53,41,left
0,0,0,6,left
96,64,46,34,left
0,0,3,13,left
93,56,36,27,left
0,0,9,18,left
92,49,27,20,left
0,0,16,22,left
82,44,21,15,left
0,0,22,26,left
0,0,0,0,left
99,72,52,35,left
0,0,0,1,left
99,67,50,36,left
0,0,0,10,left
93,59,40,30,left
0,0,6,15,left
92,52,31,22,left
0,0,14,21,left
84,45,22,16,left
0,0,18,24,left
73,31,11,9,left
101,91,75,57,left
0,0,2,14,left
101,71,58,47,left
0,0,1,14,left
93,60,42,34,left
0,0,5,16,left
92,54,33,25,left
0,0,12,20,left
85,46,23,17,left
0,0,17,23,left
81,40,18,13,left
42,67,64,51,left
0,0,0,7,left
99,70,55,44,left
0,0,0,9,left
96,63,45,35,left
0,0,3,14,left
90,56,36,27,left
0,0,9,18,left
89,48,26,19,left
0,0,16,22,left
84,44,21,15,left
0,2,24,28,left
0,0,0,0,left
97,72,51,35,left
0,0,0,1,left
98,67,49,35,left
0,0,0,10,left
94,58,39,29,left
0,0,7,16,left
88,52,30,22,left
0,0,14,21,left
85,45,22,16,left
0,0,18,24,left
64,23,6,6,left
100,89,72,54,left
0,0,0,12,left
99,71,57,46,left
0,0,0,14,left
95,61,42,34,left
0,0,5,16,left
92,53,32,25,left
0,0,12,20,left
88,46,23,17,left
0,0,17,23,left
81,41,18,13,left
43,67,64,52,left
0,0,0,7,left
100,71,56,44,left
0,0,0,10,left
97,63,45,35,left
0,0,4,14,left
92,55,35,26,left
0,0,10,19,left
90,48,25,19,left
0,0,16,23,left
82,43,20,15,left
0,15,32,33,left
0,0,0,0,left
99,71,51,36,left
0,0,0,2,left
97,66,48,34,left
0,0,1,11,left
93,58,38,28,left
0,0,7,17,left
91,51,29,21,left
0,0,15,22,left
82,44,21,16,left
0,0,18,24,left
39,2,0,0,left
102,82,63,46,left
0,0,0,8,left
98,69,54,42,left
0,0,0,12,left
95,60,41,32,left
0,0,5,15,left
91,53,32,24,left
0,0,13,20,left
85,46,23,17,left
0,0,17,23,left
78,38,16,12,left
62,79,70,55,left
0,0,0,11,left
100,71,57,46,left
0,0,0,12,left
98,62,44,34,left
0,0,4,15,left
90,55,34,26,left
0,0,11,19,left
86,47,25,18,left
0,0,17,23,left
82,43,20,14,left
0,26,39,37,left
0,0,0,0,left
98,70,51,37,left
0,0,0,3,left
96,65,47,34,left
0,0,1,11,left
92,57,37,27,left
0,0,8,17,left
92,50,28,20,left
0,0,15,22,left
82,44,21,15,left
0,0,19,25,left
19,0,0,0,left
100,76,57,41,left
0,0,0,4,left
97,68,52,39,left
0,0,0,11,left
93,59,40,31,left
0,0,5,15,left
91,52,31,23,left
0,0,13,20,left
87,46,23,17,left
0,0,17,23,left
77,36,15,11,left
95,92,77,58,left
0,0,2,15,left
98,72,59,49,left
0,0,0,14,left
95,62,44,35,left
0,0,5,16,left
92,55,34,26,left
0,0,11,20,left
85,47,24,18,left
0,0,17,23,left
84,43,19,14,left
0,37,46,41,left
0,0,0,0,left
99,71,52,39,left
0,0,0,5,left
98,65,47,34,left
0,0,2,12,left
94,57,37,28,left
0,0,8,17,left
90,50,28,20,left
0,0,15,22,left
83,44,21,15,left
0,0,20,25,left
0,0,0,0,left
99,74,53,37,left
0,0,0,1,left
99,68,51,37,left
0,0,0,10,left
93,59,40,30,left
0,0,6,15,left
94,53,31,23,left
